name,salary,season,team,shoots,height_cm,weight_kg
Eddie Griffin,695046,2005,Minnesota Timberwolves,Right,208.28,99.88
Eddie Griffin,2500000,2006,Minnesota Timberwolves,Right,208.28,99.88
Eddie Griffin,2700000,2007,Minnesota Timberwolves,Right,208.28,99.88
Eddie Griffin,2900000,2008,Minnesota Timberwolves,Right,208.28,99.88
Eddie House,316969,2001,Miami Heat,Right,185.42,81.72
Eddie House,465850,2002,Miami Heat,Right,185.42,81.72
Eddie House,637435,2003,Miami Heat,Right,185.42,81.72
Eddie House,750000,2004,Los Angeles Clippers,Right,185.42,81.72
Eddie House,825000,2005,Charlotte Bobcats,Right,185.42,81.72
Eddie House,563327,2005,Milwaukee Bucks,Right,185.42,81.72
Eddie House,835810,2006,Phoenix Suns,Right,185.42,81.72
Eddie House,1400000,2007,New Jersey Nets,Right,185.42,81.72
Eddie House,1500000,2008,Boston Celtics,Right,185.42,81.72
Eddie House,2650000,2009,Boston Celtics,Right,185.42,81.72
Eddie House,2862000,2010,New York Knicks,Right,185.42,81.72
Eddie House,1352181,2011,Miami Heat,Right,185.42,81.72
Eddie Jones,2500000,2000,Charlotte Hornets,Right,198.12,86.26
Eddie Jones,8960000,2001,Miami Heat,Right,198.12,86.26
Eddie Jones,10091250,2002,Miami Heat,Right,198.12,86.26
Eddie Jones,11212500,2003,Miami Heat,Right,198.12,86.26
Eddie Jones,12333750,2004,Miami Heat,Right,198.12,86.26
Eddie Jones,13455000,2005,Miami Heat,Right,198.12,86.26
Eddie Jones,14576250,2006,Memphis Grizzlies,Right,198.12,86.26
Eddie Jones,14863778,2007,Memphis Grizzlies,Right,198.12,86.26
Eddie Jones,531694,2007,Miami Heat,Right,198.12,86.26
Eddie Jones,1830000,2008,Dallas Mavericks,Right,198.12,86.26
Eddie Jones,2000000,2009,Indiana Pacers,Right,198.12,86.26
Eddie Robinson,600000,2000,Charlotte Hornets,Right,203.2,95.34
Eddie Robinson,600000,2001,Charlotte Hornets,Right,203.2,95.34
Eddie Robinson,5170000,2002,Chicago Bulls,Right,203.2,95.34
Eddie Robinson,5687000,2003,Chicago Bulls,Right,203.2,95.34
Eddie Robinson,6204000,2004,Chicago Bulls,Right,203.2,95.34
Eddie Robinson,5055556,2005,Chicago Bulls,Right,203.2,95.34
Eddie Robinson,5444444,2006,Chicago Bulls,Right,203.2,95.34
Eddy Curry,2678400,2002,Chicago Bulls,Right,213.36,133.93
Eddy Curry,2879280,2003,Chicago Bulls,Right,213.36,133.93
Eddy Curry,3080160,2004,Chicago Bulls,Right,213.36,133.93
Eddy Curry,3896402,2005,Chicago Bulls,Right,213.36,133.93
Eddy Curry,7390000,2006,New York Knicks,Right,213.36,133.93
Eddy Curry,8171103,2007,New York Knicks,Right,213.36,133.93
Eddy Curry,8947543,2008,New York Knicks,Right,213.36,133.93
Eddy Curry,9723983,2009,New York Knicks,Right,213.36,133.93
Eddy Curry,10500423,2010,New York Knicks,Right,213.36,133.93
Eddy Curry,11530592,2011,Minnesota Timberwolves,Right,213.36,133.93
Eddy Curry,1229255,2012,Miami Heat,Right,213.36,133.93
Eddy Curry,23852,2013,Dallas Mavericks,Right,213.36,133.93
Eduardo Najera,316969,2001,Dallas Mavericks,Right,203.2,108.96
Eduardo Najera,465850,2002,Dallas Mavericks,Right,203.2,108.96
Eduardo Najera,3047620,2003,Dallas Mavericks,Right,203.2,108.96
Eduardo Najera,3428572,2004,Dallas Mavericks,Right,203.2,108.96
Eduardo Najera,3809524,2005,Golden State Warriors,Right,203.2,108.96
Eduardo Najera,4190476,2006,Denver Nuggets,Right,203.2,108.96
Eduardo Najera,4571428,2007,Denver Nuggets,Right,203.2,108.96
Eduardo Najera,4952380,2008,Denver Nuggets,Right,203.2,108.96
Eduardo Najera,3250000,2009,New Jersey Nets,Right,203.2,108.96
Eduardo Najera,3100000,2010,Dallas Mavericks,Right,203.2,108.96
Eduardo Najera,3000000,2011,Charlotte Bobcats,Right,203.2,108.96
Eduardo Najera,2750000,2012,Charlotte Bobcats,Right,203.2,108.96
Efthimi Rentzias,658700,2000,Atlanta Hawks,Right,210.82,113.5
Efthimi Rentzias,903360,2003,Philadelphia 76ers,Right,210.82,113.5
Efthimi Rentzias,971160,2004,Philadelphia 76ers,Right,210.82,113.5
Efthimi Rentzias,516865,2005,Philadelphia 76ers,Right,210.82,113.5
Ekpe Udoh,3065040,2011,Golden State Warriors,Right,208.28,108.96
Ekpe Udoh,3294960,2012,Golden State Warriors,Right,208.28,108.96
Ekpe Udoh,3524880,2013,Milwaukee Bucks,Right,208.28,108.96
Ekpe Udoh,4469548,2014,Milwaukee Bucks,Right,208.28,108.96
Ekpe Udoh,981084,2015,Los Angeles Clippers,Right,208.28,108.96
Ekpe Udoh,3200000,2018,Utah Jazz,Right,208.28,108.96
Elden Campbell,7975000,2000,Charlotte Hornets,Right,210.82,97.61
Elden Campbell,8050000,2001,Charlotte Hornets,Right,210.82,97.61
Elden Campbell,7975000,2002,Charlotte Hornets,Right,210.82,97.61
Elden Campbell,8050000,2003,New Orleans Hornets,Right,210.82,97.61
Elden Campbell,4000000,2004,Detroit Pistons,Right,210.82,97.61
Elden Campbell,4400000,2005,Detroit Pistons,Right,210.82,97.61
Eldridge Recasner,1100000,2000,Charlotte Hornets,Right,190.5,86.26
Eldridge Recasner,1200000,2001,Charlotte Hornets,Right,190.5,86.26
Eldridge Recasner,1300000,2002,Charlotte Hornets,Right,190.5,86.26
Elfrid Payton,2397840,2015,Orlando Magic,Right,193.04,83.99
Elfrid Payton,2505720,2016,Orlando Magic,Right,193.04,83.99
Elfrid Payton,2613600,2017,Orlando Magic,Right,193.04,83.99
Elfrid Payton,3332340,2018,Phoenix Suns,Right,193.04,83.99
Elijah Millsap,241731,2015,Utah Jazz,Right,198.12,102.15
Elijah Millsap,362878,2016,Utah Jazz,Right,198.12,102.15
Elijah Millsap,23069,2017,Phoenix Suns,Right,198.12,102.15
Elliot Perry,2000000,2000,New Jersey Nets,Left,182.88,68.1
Elliot Perry,1050000,2001,New Jersey Nets,Left,182.88,68.1
Elliot Perry,94000,2001,Orlando Magic,Left,182.88,68.1
Elliot Williams,1254720,2011,Portland Trail Blazers,Left,195.58,81.72
Elliot Williams,1348800,2012,Portland Trail Blazers,Left,195.58,81.72
Elliot Williams,1442880,2013,Portland Trail Blazers,Left,195.58,81.72
Elliot Williams,107676,2015,New Orleans Pelicans,Left,195.58,81.72
Elliot Williams,53838,2015,Utah Jazz,Left,195.58,81.72
Elliot Williams,53838,2015,Charlotte Hornets,Left,195.58,81.72
Elliot Williams,80000,2016,Charlotte Hornets,Left,195.58,81.72
Elliot Williams,55722,2016,Memphis Grizzlies,Left,195.58,81.72
Elliot Williams,250000,2017,Golden State Warriors,Left,195.58,81.72
Elton Brand,3375960,2000,Chicago Bulls,Right,203.2,124.85
Elton Brand,3629160,2001,Chicago Bulls,Right,203.2,124.85
Elton Brand,3882360,2002,Los Angeles Clippers,Right,203.2,124.85
Elton Brand,4895656,2003,Los Angeles Clippers,Right,203.2,124.85
Elton Brand,10960000,2004,Los Angeles Clippers,Right,203.2,124.85
Elton Brand,12056000,2005,Los Angeles Clippers,Right,203.2,124.85
Elton Brand,13152000,2006,Los Angeles Clippers,Right,203.2,124.85
Elton Brand,14248000,2007,Los Angeles Clippers,Right,203.2,124.85
Elton Brand,15344000,2008,Los Angeles Clippers,Right,203.2,124.85
Elton Brand,13757844,2009,Philadelphia 76ers,Right,203.2,124.85
Elton Brand,14858471,2010,Philadelphia 76ers,Right,203.2,124.85
Elton Brand,15959099,2011,Philadelphia 76ers,Right,203.2,124.85
Elton Brand,17059727,2012,Philadelphia 76ers,Right,203.2,124.85
Elton Brand,16059854,2013,Philadelphia 76ers,Right,203.2,124.85
Elton Brand,2100500,2013,Dallas Mavericks,Right,203.2,124.85
Elton Brand,4000000,2014,Atlanta Hawks,Right,203.2,124.85
Elton Brand,2000000,2015,Atlanta Hawks,Right,203.2,124.85
Elton Brand,890693,2016,Philadelphia 76ers,Right,203.2,124.85
Elton Brand,1000000,2017,Philadelphia 76ers,Right,203.2,124.85
Emanual Davis,510000,2000,Seattle SuperSonics,Right,193.04,88.53
Emanual Davis,610000,2001,Seattle SuperSonics,Right,193.04,88.53
Emanual Davis,715850,2002,Atlanta Hawks,Right,193.04,88.53
Emanual Davis,824935,2003,Atlanta Hawks,Right,193.04,88.53
Emeka Okafor,3739680,2005,Charlotte Bobcats,Right,208.28,114.408
Emeka Okafor,4020120,2006,Charlotte Bobcats,Right,208.28,114.408
Emeka Okafor,4300560,2007,Charlotte Bobcats,Right,208.28,114.408
Emeka Okafor,5427307,2008,Charlotte Bobcats,Right,208.28,114.408
Emeka Okafor,9537500,2009,Charlotte Bobcats,Right,208.28,114.408
Emeka Okafor,10538937,2010,New Orleans Hornets,Right,208.28,114.408
Emeka Okafor,11495000,2011,New Orleans Hornets,Right,208.28,114.408
Emeka Okafor,12541812,2012,New Orleans Hornets,Right,208.28,114.408
Emeka Okafor,13490000,2013,Washington Wizards,Right,208.28,114.408
Emeka Okafor,14487500,2014,Phoenix Suns,Right,208.28,114.408
Emeka Okafor,774914,2018,New Orleans Pelicans,Right,208.28,114.408
Emmanuel Mudiay,3102240,2016,Denver Nuggets,Right,195.58,90.8
Emmanuel Mudiay,3241800,2017,Denver Nuggets,Right,195.58,90.8
Emmanuel Mudiay,3381480,2018,New York Knicks,Right,195.58,90.8
Enes Kanter,4133280,2012,Utah Jazz,Right,210.82,118.948
Enes Kanter,4443360,2013,Utah Jazz,Right,210.82,118.948
Enes Kanter,4505280,2014,Utah Jazz,Right,210.82,118.948
Enes Kanter,5694674,2015,Oklahoma City Thunder,Right,210.82,118.948
Enes Kanter,16400000,2016,Oklahoma City Thunder,Right,210.82,118.948
Enes Kanter,17145838,2017,Oklahoma City Thunder,Right,210.82,118.948
Enes Kanter,20566802,2018,New York Knicks,Right,210.82,118.948
Eric Bledsoe,1485000,2011,Los Angeles Clippers,Right,185.42,86.26
Eric Bledsoe,1596360,2012,Los Angeles Clippers,Right,185.42,86.26
Eric Bledsoe,1707720,2013,Los Angeles Clippers,Right,185.42,86.26
Eric Bledsoe,2626473,2014,Phoenix Suns,Right,185.42,86.26
Eric Bledsoe,12173913,2015,Phoenix Suns,Right,185.42,86.26
Eric Bledsoe,13086957,2016,Phoenix Suns,Right,185.42,86.26
Eric Bledsoe,14000000,2017,Phoenix Suns,Right,185.42,86.26
Eric Bledsoe,14500000,2018,Milwaukee Bucks,Right,185.42,86.26
Eric Dawson,38172,2012,San Antonio Spurs,Right,205.74,113.5
Eric Gordon,2623200,2009,Los Angeles Clippers,Right,193.04,97.61
Eric Gordon,2819880,2010,Los Angeles Clippers,Right,193.04,97.61
Eric Gordon,3016680,2011,Los Angeles Clippers,Right,193.04,97.61
Eric Gordon,3831184,2012,New Orleans Hornets,Right,193.04,97.61
Eric Gordon,13668750,2013,New Orleans Hornets,Right,193.04,97.61
Eric Gordon,14283844,2014,New Orleans Pelicans,Right,193.04,97.61
Eric Gordon,14898938,2015,New Orleans Pelicans,Right,193.04,97.61
Eric Gordon,15514031,2016,New Orleans Pelicans,Right,193.04,97.61
Eric Gordon,12385364,2017,Houston Rockets,Right,193.04,97.61
Eric Gordon,12943020,2018,Houston Rockets,Right,193.04,97.61
Eric Maynor,1318920,2010,Oklahoma City Thunder,Right,190.5,79.45
Eric Maynor,1417800,2011,Oklahoma City Thunder,Right,190.5,79.45
Eric Maynor,1516680,2012,Oklahoma City Thunder,Right,190.5,79.45
Eric Maynor,2338721,2013,Portland Trail Blazers,Right,190.5,79.45
Eric Maynor,2016000,2014,Washington Wizards,Right,190.5,79.45
Eric Maynor,2106720,2015,Philadelphia 76ers,Right,190.5,79.45
Eric Montross,2000000,2000,Detroit Pistons,Right,213.36,122.58
Eric Montross,2240000,2001,Detroit Pistons,Right,213.36,122.58
Eric Montross,2480000,2002,Toronto Raptors,Right,213.36,122.58
Eric Montross,2720000,2003,Toronto Raptors,Right,213.36,122.58
Eric Montross,2960000,2004,Toronto Raptors,Right,213.36,122.58
Eric Moreland,507336,2015,Sacramento Kings,Right,208.28,108.052
Eric Moreland,845059,2016,Sacramento Kings,Right,208.28,108.052
Eric Moreland,1739333,2018,Detroit Pistons,Right,208.28,108.052
Eric Murdock,1925000,2000,Los Angeles Clippers,Right,185.42,86.26
Eric Murdock,2100000,2001,Detroit Pistons,Right,185.42,86.26
Eric Piatkowski,2000000,2000,Los Angeles Clippers,Right,200.66,97.61
Eric Piatkowski,2200000,2001,Los Angeles Clippers,Right,200.66,97.61
Eric Piatkowski,3000000,2002,Los Angeles Clippers,Right,200.66,97.61
Eric Piatkowski,3000000,2003,Los Angeles Clippers,Right,200.66,97.61
Eric Piatkowski,2500000,2004,Houston Rockets,Right,200.66,97.61
Eric Piatkowski,2750000,2005,Chicago Bulls,Right,200.66,97.61
Eric Piatkowski,3000000,2006,Chicago Bulls,Right,200.66,97.61
Eric Piatkowski,1178348,2007,Phoenix Suns,Right,200.66,97.61
Eric Piatkowski,1219590,2008,Phoenix Suns,Right,200.66,97.61
Eric Snow,3000000,2000,Philadelphia 76ers,Right,190.5,86.26
Eric Snow,3380000,2001,Philadelphia 76ers,Right,190.5,86.26
Eric Snow,3750000,2002,Philadelphia 76ers,Right,190.5,86.26
Eric Snow,4125000,2003,Philadelphia 76ers,Right,190.5,86.26
Eric Snow,4500000,2004,Philadelphia 76ers,Right,190.5,86.26
Eric Snow,4875000,2005,Cleveland Cavaliers,Right,190.5,86.26
Eric Snow,5484375,2006,Cleveland Cavaliers,Right,190.5,86.26
Eric Snow,6093750,2007,Cleveland Cavaliers,Right,190.5,86.26
Eric Snow,6703125,2008,Cleveland Cavaliers,Right,190.5,86.26
Eric Snow,7312500,2009,Cleveland Cavaliers,Right,190.5,86.26
Eric Williams,3336000,2000,Boston Celtics,Right,203.2,99.88
Eric Williams,3890000,2001,Boston Celtics,Right,203.2,99.88
Eric Williams,4448000,2002,Boston Celtics,Right,203.2,99.88
Eric Williams,5004000,2003,Boston Celtics,Right,203.2,99.88
Eric Williams,5540000,2004,Cleveland Cavaliers,Right,203.2,99.88
Eric Williams,3580000,2005,Toronto Raptors,Right,203.2,99.88
Eric Williams,3938000,2006,Toronto Raptors,Right,203.2,99.88
Eric Williams,4296000,2007,Charlotte Bobcats,Right,203.2,99.88
Erick Barkley,712200,2001,Portland Trail Blazers,Right,185.42,80.358
Erick Barkley,638000,2002,Portland Trail Blazers,Right,185.42,80.358
Erick Barkley,682500,2003,Chicago Bulls,Right,185.42,80.358
Erick Dampier,4988000,2000,Golden State Warriors,Right,210.82,120.31
Erick Dampier,5610000,2001,Golden State Warriors,Right,210.82,120.31
Erick Dampier,6235000,2002,Golden State Warriors,Right,210.82,120.31
Erick Dampier,6858500,2003,Golden State Warriors,Right,210.82,120.31
Erick Dampier,7842000,2004,Golden State Warriors,Right,210.82,120.31
Erick Dampier,7700000,2005,Dallas Mavericks,Right,210.82,120.31
Erick Dampier,8662500,2006,Dallas Mavericks,Right,210.82,120.31
Erick Dampier,9628000,2007,Dallas Mavericks,Right,210.82,120.31
Erick Dampier,10590500,2008,Dallas Mavericks,Right,210.82,120.31
Erick Dampier,11553000,2009,Dallas Mavericks,Right,210.82,120.31
Erick Dampier,12115500,2010,Dallas Mavericks,Right,210.82,120.31
Erick Dampier,1129469,2011,Miami Heat,Right,210.82,120.31
Erick Dampier,850522,2012,Atlanta Hawks,Right,210.82,120.31
Erick Green,507336,2015,Denver Nuggets,Right,193.04,83.99
Erick Green,100000,2016,Denver Nuggets,Right,193.04,83.99
Erick Green,99418,2016,Utah Jazz,Right,193.04,83.99
Erick Strickland,2240000,2000,Dallas Mavericks,Left,190.5,95.34
Erick Strickland,2560000,2001,New York Knicks,Left,190.5,95.34
Erick Strickland,637415,2002,Boston Celtics,Left,190.5,95.34
Erick Strickland,762435,2003,Indiana Pacers,Left,190.5,95.34
Erick Strickland,1500000,2004,Milwaukee Bucks,Left,190.5,95.34
Erick Strickland,1650000,2005,Milwaukee Bucks,Left,190.5,95.34
Erik Daniels,385277,2005,Sacramento Kings,Left,203.2,97.156
Erik Murphy,100000,2015,Boston Celtics,Right,208.28,104.42
Ernest Brown,332817,2002,Miami Heat,Right,213.36,110.776
Ersan Ilyasova,398762,2006,Milwaukee Bucks,Right,205.74,106.69
Ersan Ilyasova,664209,2007,Milwaukee Bucks,Right,205.74,106.69
Ersan Ilyasova,2100000,2010,Milwaukee Bucks,Right,205.74,106.69
Ersan Ilyasova,2320500,2011,Milwaukee Bucks,Right,205.74,106.69
Ersan Ilyasova,2541000,2012,Milwaukee Bucks,Right,205.74,106.69
Ersan Ilyasova,7900000,2013,Milwaukee Bucks,Right,205.74,106.69
Ersan Ilyasova,7900000,2014,Milwaukee Bucks,Right,205.74,106.69
Ersan Ilyasova,7900000,2015,Detroit Pistons,Right,205.74,106.69
Ersan Ilyasova,7900000,2016,Orlando Magic,Right,205.74,106.69
Ersan Ilyasova,8400000,2017,Atlanta Hawks,Right,205.74,106.69
Ersan Ilyasova,5434282,2018,Atlanta Hawks,Right,205.74,106.69
Ersan Ilyasova,357454,2018,Philadelphia 76ers,Right,205.74,106.69
Ervin Johnson,2951029,2000,Milwaukee Bucks,Right,210.82,111.23
Ervin Johnson,2700000,2001,Milwaukee Bucks,Right,210.82,111.23
Ervin Johnson,3670929,2002,Milwaukee Bucks,Right,210.82,111.23
Ervin Johnson,3998679,2003,Milwaukee Bucks,Right,210.82,111.23
Ervin Johnson,4418156,2004,Minnesota Timberwolves,Right,210.82,111.23
Ervin Johnson,4837633,2005,Minnesota Timberwolves,Right,210.82,111.23
Ervin Johnson,1138500,2006,Milwaukee Bucks,Right,210.82,111.23
Esteban Batista,398762,2006,Atlanta Hawks,Left,208.28,122.58
Esteban Batista,664209,2007,Atlanta Hawks,Left,208.28,122.58
Etan Thomas,1388880,2001,Dallas Mavericks,Right,205.74,116.224
Etan Thomas,1493040,2002,Washington Wizards,Right,205.74,116.224
Etan Thomas,1597200,2003,Washington Wizards,Right,205.74,116.224
Etan Thomas,2200942,2004,Washington Wizards,Right,205.74,116.224
Etan Thomas,4903000,2005,Washington Wizards,Right,205.74,116.224
Etan Thomas,5393300,2006,Washington Wizards,Right,205.74,116.224
Etan Thomas,5883600,2007,Washington Wizards,Right,205.74,116.224
Etan Thomas,6373900,2008,Washington Wizards,Right,205.74,116.224
Etan Thomas,6864200,2009,Washington Wizards,Right,205.74,116.224
Etan Thomas,7350000,2010,Oklahoma City Thunder,Right,205.74,116.224
Etan Thomas,1223166,2011,Atlanta Hawks,Right,205.74,116.224
Etdrick Bohannon,523500,2001,Los Angeles Clippers,Right,205.74,99.88
Eugene Jeter,473604,2011,Sacramento Kings,Right,180.34,79.45
Evan Eschmeyer,301875,2000,New Jersey Nets,Right,210.82,115.77
Evan Eschmeyer,423500,2001,New Jersey Nets,Right,210.82,115.77
Evan Eschmeyer,3038000,2002,Dallas Mavericks,Right,210.82,115.77
Evan Eschmeyer,3103800,2003,Dallas Mavericks,Right,210.82,115.77
Evan Eschmeyer,3017266,2004,Golden State Warriors,Right,210.82,115.77
Evan Eschmeyer,3407655,2005,Dallas Mavericks,Right,210.82,115.77
Evan Eschmeyer,3711400,2006,Dallas Mavericks,Right,210.82,115.77
Evan Fournier,1361400,2013,Denver Nuggets,Right,200.66,93.07
Evan Fournier,1422720,2014,Denver Nuggets,Right,200.66,93.07
Evan Fournier,1483920,2015,Orlando Magic,Right,200.66,93.07
Evan Fournier,2288205,2016,Orlando Magic,Right,200.66,93.07
Evan Fournier,17000000,2017,Orlando Magic,Right,200.66,93.07
Evan Fournier,17000000,2018,Orlando Magic,Right,200.66,93.07
Evan Turner,4602720,2011,Philadelphia 76ers,Right,200.66,93.07
Evan Turner,4947840,2012,Philadelphia 76ers,Right,200.66,93.07
Evan Turner,5293080,2013,Philadelphia 76ers,Right,200.66,93.07
Evan Turner,6679867,2014,Philadelphia 76ers,Right,200.66,93.07
Evan Turner,3278000,2015,Boston Celtics,Right,200.66,93.07
Evan Turner,3425510,2016,Boston Celtics,Right,200.66,93.07
Evan Turner,16393443,2017,Portland Trail Blazers,Right,200.66,93.07
Evan Turner,17131148,2018,Portland Trail Blazers,Right,200.66,93.07
Fab Melo,1254720,2013,Boston Celtics,Right,213.36,115.77
Fab Melo,1311240,2014,Memphis Grizzlies,Right,213.36,115.77
Fab Melo,788872,2014,Dallas Mavericks,Right,213.36,115.77
Fab Melo,437080,2015,Memphis Grizzlies,Right,213.36,115.77
Fabricio Oberto,2325000,2006,San Antonio Spurs,Right,208.28,111.23
Fabricio Oberto,2500000,2007,San Antonio Spurs,Right,208.28,111.23
Fabricio Oberto,3600000,2008,San Antonio Spurs,Right,208.28,111.23
Fabricio Oberto,3600000,2009,San Antonio Spurs,Right,208.28,111.23
Fabricio Oberto,2100000,2010,Washington Wizards,Right,208.28,111.23
Fabricio Oberto,1800000,2010,Detroit Pistons,Right,208.28,111.23
Fabricio Oberto,992680,2011,Portland Trail Blazers,Right,208.28,111.23
Felipe Lopez,831120,2001,Washington Wizards,Right,195.58,90.346
Felipe Lopez,565850,2002,Minnesota Timberwolves,Right,195.58,90.346
Felipe Lopez,637435,2003,Minnesota Timberwolves,Right,195.58,90.346
Felton Spencer,510000,2000,San Antonio Spurs,Right,213.36,120.31
Felton Spencer,1000000,2001,New York Knicks,Right,213.36,120.31
Felton Spencer,1000000,2002,New York Knicks,Right,213.36,120.31
Festus Ezeli,1020960,2013,Golden State Warriors,Right,210.82,115.77
Festus Ezeli,1066920,2014,Golden State Warriors,Right,210.82,115.77
Festus Ezeli,1112880,2015,Golden State Warriors,Right,210.82,115.77
Festus Ezeli,2008748,2016,Golden State Warriors,Right,210.82,115.77
Festus Ezeli,7400000,2017,Portland Trail Blazers,Right,210.82,115.77
Festus Ezeli,333334,2018,Portland Trail Blazers,Right,210.82,115.77
Francisco Elson,366931,2004,Denver Nuggets,Right,213.36,106.69
Francisco Elson,620046,2005,Denver Nuggets,Right,213.36,106.69
Francisco Elson,719373,2006,Denver Nuggets,Right,213.36,106.69
Francisco Elson,3000000,2007,San Antonio Spurs,Right,213.36,106.69
Francisco Elson,3000000,2008,Seattle SuperSonics,Right,213.36,106.69
Francisco Elson,1700000,2009,Milwaukee Bucks,Right,213.36,106.69
Francisco Elson,1700000,2010,Philadelphia 76ers,Right,213.36,106.69
Francisco Elson,1146337,2011,Utah Jazz,Right,213.36,106.69
Francisco Elson,305792,2012,Philadelphia 76ers,Right,213.36,106.69
Francisco Garcia,1016400,2006,Sacramento Kings,Right,200.66,88.53
Francisco Garcia,1092600,2007,Sacramento Kings,Right,200.66,88.53
Francisco Garcia,1168800,2008,Sacramento Kings,Right,200.66,88.53
Francisco Garcia,1983454,2009,Sacramento Kings,Right,200.66,88.53
Francisco Garcia,5800000,2010,Sacramento Kings,Right,200.66,88.53
Francisco Garcia,5500000,2011,Sacramento Kings,Right,200.66,88.53
Francisco Garcia,5800000,2012,Sacramento Kings,Right,200.66,88.53
Francisco Garcia,6100000,2013,Houston Rockets,Right,200.66,88.53
Francisco Garcia,1265977,2014,Houston Rockets,Right,200.66,88.53
Francisco Garcia,1316809,2015,Houston Rockets,Right,200.66,88.53
Frank Kaminsky,2612500,2016,Charlotte Hornets,Right,213.36,109.868
Frank Kaminsky,2730000,2017,Charlotte Hornets,Right,213.36,109.868
Frank Kaminsky,2847600,2018,Charlotte Hornets,Right,213.36,109.868
Frank Williams,832560,2003,New York Knicks,Right,190.5,96.248
Frank Williams,894960,2004,New York Knicks,Right,190.5,96.248
Frank Williams,957480,2005,Chicago Bulls,Right,190.5,96.248
Fred Hoiberg,800000,2000,Chicago Bulls,Right,193.04,92.162
Fred Hoiberg,880000,2001,Chicago Bulls,Right,193.04,92.162
Fred Hoiberg,1600000,2002,Chicago Bulls,Right,193.04,92.162
Fred Hoiberg,1400000,2003,Chicago Bulls,Right,193.04,92.162
Fred Hoiberg,938679,2004,Minnesota Timberwolves,Right,193.04,92.162
Fred Hoiberg,1600000,2005,Minnesota Timberwolves,Right,193.04,92.162
Fred Hoiberg,1760000,2006,Minnesota Timberwolves,Right,193.04,92.162
Fred Jones,1367400,2003,Indiana Pacers,Right,193.04,95.34
Fred Jones,1506000,2004,Indiana Pacers,Right,193.04,95.34
Fred Jones,1572480,2005,Indiana Pacers,Right,193.04,95.34
Fred Jones,2328843,2006,Indiana Pacers,Right,193.04,95.34
Fred Jones,3100000,2007,Portland Trail Blazers,Right,193.04,95.34
Fred Jones,3300000,2008,New York Knicks,Right,193.04,95.34
Fred Jones,622531,2009,Los Angeles Clippers,Right,193.04,95.34
Fred Vinson,485000,2000,Seattle SuperSonics,Right,193.04,86.26
Furkan Aldemir,3000000,2015,Philadelphia 76ers,Right,208.28,108.96
Furkan Aldemir,3000000,2016,Philadelphia 76ers,Right,208.28,108.96
Gabe Pruitt,650000,2008,Boston Celtics,Right,193.04,77.18
Gabe Pruitt,711517,2009,Boston Celtics,Right,193.04,77.18
Gal Mekel,816482,2015,Dallas Mavericks,Right,190.5,86.714
Gal Mekel,633974,2015,New Orleans Pelicans,Right,190.5,86.714
Gal Mekel,315760,2016,Dallas Mavericks,Right,190.5,86.714
Gal Mekel,315760,2017,Dallas Mavericks,Right,190.5,86.714
Gal Mekel,315760,2018,Dallas Mavericks,Right,190.5,86.714
Gani Lawal,473640,2011,Phoenix Suns,Right,205.74,106.236
Garret Siler,473640,2011,Phoenix Suns,Right,210.82,138.47
Garret Siler,51097,2012,Phoenix Suns,Right,210.82,138.47
Garrett Temple,98637,2011,Milwaukee Bucks,Right,198.12,86.26
Garrett Temple,71736,2011,San Antonio Spurs,Right,198.12,86.26
Garrett Temple,572943,2013,Washington Wizards,Right,198.12,86.26
Garrett Temple,916099,2014,Washington Wizards,Right,198.12,86.26
Garrett Temple,981084,2015,Washington Wizards,Right,198.12,86.26
Garrett Temple,1100602,2016,Washington Wizards,Right,198.12,86.26
Garrett Temple,8000000,2017,Sacramento Kings,Right,198.12,86.26
Garrett Temple,8000000,2018,Sacramento Kings,Right,198.12,86.26
Garth Joseph,316969,2001,Toronto Raptors,Right,218.44,143.01
Gary Forbes,473604,2011,Denver Nuggets,Right,200.66,99.88
Gary Forbes,1500000,2012,Toronto Raptors,Right,200.66,99.88
Gary Forbes,1500000,2013,Houston Rockets,Right,200.66,99.88
Gary Grant,1200000,2000,Portland Trail Blazers,Right,190.5,83.99
Gary Grant,1000000,2001,Portland Trail Blazers,Right,190.5,83.99
Gary Grant,316969,2001,Cleveland Cavaliers,Right,190.5,83.99
Gary Harris,1519200,2015,Denver Nuggets,Right,193.04,95.34
Gary Harris,1587480,2016,Denver Nuggets,Right,193.04,95.34
Gary Harris,1655880,2017,Denver Nuggets,Right,193.04,95.34
Gary Harris,2550055,2018,Denver Nuggets,Right,193.04,95.34
Gary Neal,525000,2011,San Antonio Spurs,Right,193.04,95.34
Gary Neal,762195,2012,San Antonio Spurs,Right,193.04,95.34
Gary Neal,854389,2013,San Antonio Spurs,Right,193.04,95.34
Gary Neal,3250000,2014,Milwaukee Bucks,Right,193.04,95.34
Gary Neal,3250000,2015,Minnesota Timberwolves,Right,193.04,95.34
Gary Neal,2100000,2016,Washington Wizards,Right,193.04,95.34
Gary Neal,72193,2017,Atlanta Hawks,Right,193.04,95.34
Gary Payton,11020473,2000,Seattle SuperSonics,Right,193.04,81.72
Gary Payton,12200000,2001,Seattle SuperSonics,Right,193.04,81.72
Gary Payton,12926493,2002,Seattle SuperSonics,Right,193.04,81.72
Gary Payton,12636117,2003,Seattle SuperSonics,Right,193.04,81.72
