name,salary,season,team,shoots,height_cm,weight_kg
Adrian Griffin,870046,2005,Chicago Bulls,Left,195.58,98.518
Adrian Griffin,768718,2006,Dallas Mavericks,Left,195.58,98.518
Adrian Griffin,1475000,2007,Chicago Bulls,Left,195.58,98.518
Adrian Griffin,1593000,2008,Seattle SuperSonics,Left,195.58,98.518
Adrian Griffin,1711000,2009,Milwaukee Bucks,Left,195.58,98.518
Al Harrington,745800,2000,Indiana Pacers,Right,205.74,104.42
Al Harrington,797880,2001,Indiana Pacers,Right,205.74,104.42
Al Harrington,1436982,2002,Indiana Pacers,Right,205.74,104.42
Al Harrington,5060000,2003,Indiana Pacers,Right,205.74,104.42
Al Harrington,5692500,2004,Indiana Pacers,Right,205.74,104.42
Al Harrington,6325000,2005,Atlanta Hawks,Right,205.74,104.42
Al Harrington,6957500,2006,Atlanta Hawks,Right,205.74,104.42
Al Harrington,7625000,2007,Golden State Warriors,Right,205.74,104.42
Al Harrington,8425625,2008,Golden State Warriors,Right,205.74,104.42
Al Harrington,9226250,2009,New York Knicks,Right,205.74,104.42
Al Harrington,10026875,2010,New York Knicks,Right,205.74,104.42
Al Harrington,5765000,2011,Denver Nuggets,Right,205.74,104.42
Al Harrington,6226200,2012,Denver Nuggets,Right,205.74,104.42
Al Harrington,6687400,2013,Orlando Magic,Right,205.74,104.42
Al Harrington,3574300,2014,Orlando Magic,Right,205.74,104.42
Al Harrington,1399507,2014,Washington Wizards,Right,205.74,104.42
Al Harrington,3805000,2015,Orlando Magic,Right,205.74,104.42
Al Horford,3745800,2008,Atlanta Hawks,Right,208.28,111.23
Al Horford,4026720,2009,Atlanta Hawks,Right,208.28,111.23
Al Horford,4307640,2010,Atlanta Hawks,Right,208.28,111.23
Al Horford,5444857,2011,Atlanta Hawks,Right,208.28,111.23
Al Horford,12000000,2012,Atlanta Hawks,Right,208.28,111.23
Al Horford,12000000,2013,Atlanta Hawks,Right,208.28,111.23
Al Horford,12000000,2014,Atlanta Hawks,Right,208.28,111.23
Al Horford,12000000,2015,Atlanta Hawks,Right,208.28,111.23
Al Horford,12000000,2016,Atlanta Hawks,Right,208.28,111.23
Al Horford,26540100,2017,Boston Celtics,Right,208.28,111.23
Al Horford,27734405,2018,Boston Celtics,Right,208.28,111.23
Al Jefferson,1407240,2005,Boston Celtics,Right,208.28,120.31
Al Jefferson,1512840,2006,Boston Celtics,Right,208.28,120.31
Al Jefferson,1618320,2007,Boston Celtics,Right,208.28,120.31
Al Jefferson,2480885,2008,Minnesota Timberwolves,Right,208.28,120.31
Al Jefferson,11000000,2009,Minnesota Timberwolves,Right,208.28,120.31
Al Jefferson,12000000,2010,Minnesota Timberwolves,Right,208.28,120.31
Al Jefferson,13000000,2011,Utah Jazz,Right,208.28,120.31
Al Jefferson,14000000,2012,Utah Jazz,Right,208.28,120.31
Al Jefferson,15000000,2013,Utah Jazz,Right,208.28,120.31
Al Jefferson,13500000,2014,Charlotte Bobcats,Right,208.28,120.31
Al Jefferson,13666667,2015,Charlotte Hornets,Right,208.28,120.31
Al Jefferson,13833333,2016,Charlotte Hornets,Right,208.28,120.31
Al Jefferson,10230179,2017,Indiana Pacers,Right,208.28,120.31
Al Jefferson,9769821,2018,Indiana Pacers,Right,208.28,120.31
Al Thornton,1652280,2008,Los Angeles Clippers,Right,203.2,99.88
