name,shoots,height_cm,weight_kg
Jeff Withey,Right,213.36,106.69
Jelani McCoy,Right,208.28,111.23
Jerami Grant,Right,203.2,95.34
Jerel McNeal,Right,190.5,90.8
Jeremy Evans,Right,205.74,88.984
Jeremy Lamb,Right,195.58,81.72
Jeremy Lin,Right,190.5,90.8
Jeremy Pargo,Right,187.96,99.426
Jeremy Richardson,Right,198.12,83.99
Jeremy Tyler,Right,208.28,118.04
Jerian Grant,Right,193.04,88.53
Jermaine Jackson,Right,193.04,92.616
Jermaine O'Neal,Right,210.82,102.604
Jermaine Taylor,Right,193.04,95.34
Jermareo Davidson,Right,208.28,104.42
Jerome Beasley,Right,208.28,107.598
Jerome Dyson,Right,190.5,81.72
Jerome James,Right,213.36,136.2
Jerome Jordan,Right,213.36,114.862
Jerome Kersey,Right,200.66,97.61
Jerome Moiso,Left,208.28,106.69
Jerome Williams,Right,205.74,93.524
Jerrelle Benimon,Right,203.2,111.23
Jerry Smith,Right,187.96,86.26
Jerry Stackhouse,Right,198.12,98.972
Jerryd Bayless,Right,190.5,90.8
Jeryl Sasser,Right,198.12,90.8
Jim Jackson,Right,198.12,99.88
Jim McIlvaine,Right,215.9,108.96
Jimmer Fredette,Right,187.96,88.53
Jimmy Butler,Right,200.66,99.88
Jiri Welsch,Right,200.66,94.432
Joakim Noah,Right,210.82,105.328
Jodie Meeks,Right,193.04,94.432
Joe Alexander,Right,203.2,104.42
Joe Crawford,Right,195.58,95.34
Joe Crispin,Right,182.88,83.99
Joe Harris,Right,198.12,99.426
Joe Ingles,Left,203.2,102.604
Joe Johnson,Right,200.66,108.96
Joe Kleine,Right,210.82,115.77
Joe Smith,Right,208.28,102.15
Joe Stephens,Right,200.66,95.34
Joel Anthony,Left,205.74,111.23
Joel Freeland,Right,208.28,113.5
Joel Przybilla,Right,215.9,115.77
Joey Dorsey,Right,203.2,121.672
Joey Graham,Right,200.66,102.15
Joffrey Lauvergne,Right,210.82,99.88
Johan Petro,Right,213.36,112.138
John Amaechi,Right,208.28,122.58
John Celestand,Right,193.04,80.812
John Coker,Right,213.36,114.862
John Crotty,Left,185.42,83.99
John Edwards,Right,213.36,124.85
John Henson,Right,210.82,99.88
John Jenkins,Right,193.04,97.61
John Lucas,Left,180.34,74.91
John Lucas III,Right,180.34,74.91
John Salley,Right,210.82,104.42
John Salmons,Right,200.66,95.34
John Starks,Right,190.5,81.72
John Stockton,Right,185.42,77.18
John Thomas,Right,205.74,120.31
John Wall,Right,193.04,88.53
John Wallace,Right,203.2,102.15
Johnny Newman,Right,200.66,86.26
Johnny O'Bryant,Right,205.74,116.678
Johnny Taylor,Right,205.74,99.88
Jon Barry,Right,193.04,88.53
Jon Brockman,Right,200.66,115.77
Jon Leuer,Right,208.28,103.512
Jonas Jerebko,Right,208.28,104.874
Jonas Valanciunas,Right,210.82,104.874
Jonathan Bender,Right,210.82,91.708
Jonny Flynn,Right,182.88,83.99
Jordan Adams,Right,195.58,94.886
Jordan Clarkson,Right,195.58,83.99
Jordan Crawford,Right,193.04,88.53
Jordan Farmar,Right,187.96,81.72
Jordan Hamilton,Right,200.66,99.88
Jordan Hill,Right,208.28,106.69
Jordan Mickey,Right,203.2,106.69
Jordan Williams,Right,208.28,118.04
Jorge Garbajosa,Right,205.74,111.23
Jorge Gutierrez,Right,190.5,86.714
Jose Calderon,Right,190.5,95.34
Joseph Forte,Right,193.04,88.076
Josh Akognon,Right,180.34,83.99
Josh Boone,Right,208.28,107.598
Josh Childress,Right,203.2,95.34
Josh Davis,Right,203.2,106.69
Josh Harrellson,Right,208.28,124.85
Josh Howard,Right,200.66,95.34
Josh McRoberts,Left,208.28,108.96
Josh Powell,Right,205.74,102.15
Josh Richardson,Right,198.12,90.8
Josh Selby,Right,187.96,83.082
Josh Smith,Left,205.74,102.15
Jrue Holiday,Right,193.04,93.07
Juan Carlos Navarro,Right,190.5,77.18
Juan Dixon,Right,190.5,74.456
Juaquin Hawkins,Left,200.66,99.88
Jud Buechler,Right,198.12,99.88
Julian Wright,Right,203.2,102.15
Julius Hodge,Right,200.66,95.34
Julius Randle,Left,205.74,113.5
Julyan Stone,Right,198.12,90.8
Jumaine Jones,Right,203.2,98.972
Junior Harrington,Right,193.04,81.72
Justin Anderson,Left,198.12,103.512
Justin Dentmon,Right,180.34,83.99
Justin Hamilton,Right,213.36,118.04
Justin Harper,Right,208.28,102.15
Justin Holiday,Right,198.12,83.99
Justin Reed,Right,203.2,108.96
Justin Williams,Right,208.28,102.15
Justise Winslow,Left,200.66,102.15
Jusuf Nurkic,Right,213.36,127.12
Juwan Howard,Right,205.74,108.96
K.J. McDaniels,Right,198.12,93.07
Kalin Lucas,Right,185.42,88.53
Kaniel Dickens,Right,203.2,97.61
Kareem Rush,Left,198.12,97.61
Karl Malone,Right,205.74,113.5
Karl-Anthony Towns,Right,213.36,110.776
Kasib Powell,Right,200.66,97.61
Kawhi Leonard,Right,200.66,102.15
Kedrick Brown,Right,200.66,100.788
Keith Benson,Right,210.82,104.42
Keith Bogans,Right,195.58,97.61
Keith Closs,Left,220.98,96.248
Keith Langford,Left,193.04,97.61
Keith McLeod,Right,187.96,85.352
Keith Van Horn,Right,208.28,99.88
Kelenna Azubuike,Right,195.58,99.88
Kelly Olynyk,Right,213.36,108.052
Kelvin Cato,Right,210.82,115.77
Kemba Walker,Right,185.42,78.088
Ken Johnson,Right,210.82,108.96
Ken Johnson,Right,210.82,108.96
Kendall Gill,Right,195.58,88.53
Kendall Marshall,Left,193.04,88.53
Kendrick Perkins,Right,208.28,127.12
Kenneth Faried,Right,203.2,103.512
Kenny Anderson,Left,182.88,76.272
Kenny Satterfield,Right,187.96,84.444
Kenny Thomas,Right,200.66,118.494
Kent Bazemore,Left,195.58,91.254
Kentavious Caldwell-Pope,Right,195.58,93.07
Kenyon Martin,Right,205.74,106.236
Keon Clark,Left,210.82,99.88
Kerry Kittles,Right,195.58,81.266
Kevin Burleson,Right,190.5,93.07
Kevin Durant,Right,205.74,108.96
Kevin Edwards,Right,190.5,86.26
Kevin Garnett,Right,210.82,99.88
Kevin Johnson,Right,185.42,81.72
Kevin Jones,Right,203.2,113.954
Kevin Love,Right,208.28,118.04
Kevin Martin,Right,200.66,83.99
Kevin Murphy,Right,198.12,83.99
Kevin Ollie,Right,193.04,88.53
Kevin Seraphin,Right,205.74,119.856
Kevin Willis,Right,213.36,99.88
Kevinn Pinkney,Right,208.28,111.23
Keyon Dooling,Right,190.5,88.984
Khalid El-Amin,Right,177.8,90.8
Khalid Reeves,Right,190.5,90.346
Khris Middleton,Right,200.66,97.61
Kim English,Right,198.12,90.8
Kirk Haston,Right,205.74,109.868
Kirk Hinrich,Right,190.5,86.26
Kirk Penney,Right,195.58,99.88
Kirk Snyder,Right,198.12,102.15
Kiwane Garris,Right,187.96,83.082
Klay Thompson,Right,200.66,93.07
Kobe Bryant,Right,198.12,90.8
Kornel David,Right,205.74,106.69
Kosta Koufos,Right,213.36,120.31
Kosta Perovic,Right,218.44,108.96
Kostas Papanikolaou,Left,203.2,102.15
Kris Humphries,Right,205.74,106.69
Kris Joseph,Right,200.66,95.34
Kristaps Porzingis,Right,220.98,108.96
Kurt Thomas,Right,205.74,104.42
Kwame Brown,Right,210.82,122.58
Kyle Anderson,Right,205.74,104.42
Kyle Korver,Right,200.66,95.34
Kyle Lowry,Right,182.88,79.45
Kyle O'Quinn,Right,208.28,108.96
Kyle Singler,Right,203.2,104.42
Kyle Weaver,Right,198.12,91.254
Kyrie Irving,Right,190.5,87.622
Kyrylo Fesenko,Right,215.9,130.752
Lamar Odom,Left,208.28,99.88
Lamar Patterson,Right,195.58,102.15
LaMarcus Aldridge,Right,210.82,108.96
Lamond Murray,Right,200.66,107.144
Lance Allred,Right,210.82,113.5
Lance Stephenson,Right,195.58,95.34
Lance Thomas,Right,203.2,102.15
Landry Fields,Right,200.66,95.34
Langston Galloway,Right,187.96,90.8
LaPhonso Ellis,Right,203.2,108.96
Lari Ketner,Right,205.74,125.758
Laron Profit,Right,195.58,92.616
Larry Drew,Right,187.96,81.72
Larry Hughes,Right,195.58,83.536
Larry Johnson,Right,198.12,113.5
Larry Johnson,Right,198.12,113.5
Larry Nance Jr.,Right,205.74,104.42
Larry Owens,Right,200.66,95.34
Larry Robinson,Right,190.5,81.72
Larry Sanders,Right,210.82,106.69
Latrell Sprewell,Right,195.58,86.26
Lavor Postell,Right,195.58,97.61
Lavoy Allen,Right,205.74,102.15
Lawrence Funderburke,Left,205.74,104.42
Lawrence Roberts,Right,205.74,108.96
Lazar Hayward,Right,198.12,102.15
Lazaro Borrell,Right,203.2,99.88
Leandro Barbosa,Right,190.5,79.904
LeBron James,Right,203.2,108.96
Lee Nailon,Left,205.74,108.052
Leon Powe,Right,203.2,108.96
Leon Smith,Right,208.28,106.69
Lester Hudson,Right,190.5,86.26
Linas Kleiza,Right,203.2,111.23
Lindsey Hunter,Right,187.96,77.18
Linton Johnson,Right,203.2,93.07
Lionel Chalmers,Right,182.88,81.72
Lonny Baxter,Right,203.2,118.04
Loren Woods,Right,215.9,111.23
Lorenzen Wright,Right,210.82,102.15
Lorenzo Brown,Right,195.58,85.806
Lorenzo Williams,Right,205.74,90.8
Lou Amundson,Right,205.74,99.88
Lou Williams,Right,185.42,79.45
Loy Vaught,Right,205.74,104.42
Luc Longley,Right,218.44,120.31
Luc Mbah a Moute,Right,203.2,104.42
Lucas Nogueira,Right,213.36,99.88
Lucious Harris,Right,195.58,86.26
Luis Flores,Right,187.96,90.8
Luis Montero,Right,200.66,83.99
Luis Scola,Right,205.74,111.23
Luke Babbitt,Left,205.74,102.15
Luke Harangody,Right,203.2,111.684
Luke Jackson,Right,200.66,97.61
Luke Jackson,Left,200.66,97.61
Luke Ridnour,Right,187.96,79.45
Luke Schenscher,Right,215.9,115.77
Luke Walton,Right,203.2,106.69
Luke Zeller,Right,210.82,111.23
Luol Deng,Right,205.74,99.88
Luther Head,Right,190.5,83.99
Lynn Greer,Left,187.96,79.45
Maalik Wayns,Right,187.96,90.8
Maceo Baston,Right,205.74,97.61
Maciej Lampe,Right,210.82,124.85
Mahmoud Abdul-Rauf,Right,185.42,73.548
Malcolm Lee,Right,195.58,90.8
Malcolm Thomas,Right,205.74,102.15
Malik Allen,Right,208.28,115.77
Malik Hairston,Right,198.12,99.88
Malik Rose,Right,200.66,113.5
Malik Sealy,Right,203.2,86.26
Mamadou N'Diaye,Right,213.36,115.77
Manny Harris,Right,195.58,83.99
Manu Ginobili,Left,198.12,95.34
Marc Gasol,Right,215.9,120.31
Marc Jackson,Right,208.28,122.58
Marcelo Huertas,Right,190.5,83.99
Marcin Gortat,Right,210.82,108.96
Marco Belinelli,Right,195.58,87.168
Marcus Banks,Right,187.96,90.8
Marcus Brown,Right,190.5,83.99
Marcus Camby,Right,210.82,99.88
Marcus Cousin,Right,210.82,111.23
Marcus Fizer,Right,205.74,118.948
Marcus Haislip,Right,208.28,104.42
Marcus Landry,Right,200.66,104.42
Marcus Morris,Right,205.74,106.69
Marcus Smart,Right,193.04,99.88
Marcus Thornton,Right,193.04,93.07
Marcus Vinicius,Right,203.2,102.15
Marcus Williams,Left,190.5,93.07
Marcus Williams,Right,190.5,93.07
Mardy Collins,Right,198.12,99.88
Mario Bennett,Right,198.12,106.69
Mario Chalmers,Right,185.42,86.26
Mario Elie,Right,195.58,95.34
Mario Hezonja,Right,203.2,97.61
Mario Kasun,Right,215.9,118.04
Mario West,Right,195.58,95.34
Mark Blount,Right,213.36,104.42
Mark Bryant,Right,205.74,111.23
Mark Davis,Right,200.66,95.34
Mark Davis,Right,200.66,95.34
Mark Hendrickson,Left,205.74,99.88
Mark Jackson,Right,185.42,81.72
Mark Jones,Right,198.12,97.61
Mark Jones,Right,198.12,97.61
Mark Madsen,Right,205.74,108.96
Mark Pope,Right,208.28,106.69
Mark Strickland,Right,205.74,95.34
Mark West,Right,208.28,104.42
Markel Brown,Right,190.5,86.26
Markieff Morris,Right,208.28,111.23
Marko Jaric,Right,200.66,89.892
Marquis Daniels,Right,198.12,90.8
Marquis Teague,Right,187.96,85.806
Marreese Speights,Right,208.28,111.23
MarShon Brooks,Right,195.58,90.8
Martell Webster,Right,200.66,95.34
Marty Conlon,Right,208.28,101.696
Martynas Andriuskevicius,Right,218.44,108.96
Marvin Williams,Right,205.74,104.42
Mason Plumlee,Right,208.28,106.69
Mateen Cleaves,Right,187.96,93.07
Matt Barnes,Right,200.66,106.69
Matt Bonner,Right,208.28,108.96
Matt Bullard,Right,208.28,97.61
Matt Carroll,Right,198.12,96.248
Matt Freije,Right,208.28,108.96
Matt Geiger,Right,213.36,110.322
Matt Harpring,Right,200.66,104.874
Matt Maloney,Right,190.5,87.168
Matt Walsh,Right,198.12,93.07
Matthew Dellavedova,Right,193.04,90.8
Maurice Ager,Right,195.58,91.708
Maurice Baker,Right,185.42,79.45
Maurice Carter,Left,195.58,95.34
Maurice Evans,Right,195.58,99.88
Maurice Harkless,Right,203.2,94.432
Maurice Taylor,Right,205.74,118.04
Mehmet Okur,Right,210.82,113.046
Melvin Ely,Right,208.28,118.04
Melvin Sanders,Right,195.58,95.34
Mengke Bateer,Right,210.82,131.66
Metta World Peace,Right,198.12,110.776
Meyers Leonard,Right,215.9,111.23
Michael Beasley,Left,205.74,106.69
Michael Bradley,Right,208.28,111.23
Michael Cage,Left,205.74,101.696
Michael Carter-Williams,Right,198.12,83.99
Michael Curry,Right,195.58,95.34
Michael Dickerson,Right,195.58,86.26
Michael Doleac,Right,210.82,118.948
Michael Finley,Right,200.66,97.61
Michael Hawkins,Right,182.88,80.812
Michael Jordan,Right,198.12,88.53
Michael Kidd-Gilchrist,Right,200.66,105.328
Michael Olowokandi,Right,213.36,122.126
Michael Redd,Left,198.12,99.88
Michael Ruffin,Right,205.74,111.684
Michael Smith,Right,203.2,104.42
Michael Smith,Left,203.2,104.42
Michael Stewart,Right,208.28,104.42
Mickael Gelabale,Right,200.66,97.61
Mickael Pietrus,Right,198.12,97.61
Mickell Gladness,Right,210.82,99.88
Mike Batiste,Right,203.2,102.15
Mike Bibby,Right,185.42,86.26
Mike Conley,Left,185.42,81.72
Mike Dunleavy,Right,205.74,99.88
Mike Dunleavy,Right,205.74,99.88
Mike Hall,Right,203.2,104.42
Mike Harris,Right,198.12,108.96
Mike James,Right,187.96,85.352
Mike James,Right,187.96,85.352
Mike Miller,Right,203.2,98.972
Mike Muscala,Right,210.82,108.506
Mike Penberthy,Right,190.5,83.99
Mike Scott,Right,203.2,107.598
Mike Smith,Right,203.2,88.53
Mike Sweetney,Right,203.2,124.85
Mike Taylor,Right,187.96,74.91
Mike Wilks,Right,177.8,83.99
Mikki Moore,Right,210.82,102.15
Mile Ilic,Right,215.9,104.42
Miles Plumlee,Right,208.28,111.23
Milt Palacio,Right,190.5,88.53
Miroslav Raduljica,Right,213.36,113.5
Mirsad Turkcan,Right,205.74,107.144
Mirza Teletovic,Right,203.2,106.69
Mitch McGary,Left,208.28,115.77
Mitch Richmond,Right,195.58,97.61
Mitchell Butler,Right,195.58,95.34
Mo Williams,Right,185.42,83.99
Monta Ellis,Right,190.5,79.45
Montrezl Harrell,Right,203.2,108.96
Monty Williams,Right,203.2,102.15
Moochie Norris,Left,185.42,79.45
Mookie Blaylock,Right,182.88,81.72
Morris Almond,Right,198.12,102.15
Morris Peterson,Left,200.66,98.972
Mouhamed Sene,Right,210.82,104.42
Muggsy Bogues,Right,160.02,61.744
Mustafa Shakur,Right,190.5,86.26
Mychel Thompson,Right,198.12,95.794
Myles Turner,Right,210.82,110.322
Nando De Colo,Right,195.58,90.8
Nate Huffman,Right,215.9,111.23
Nate Robinson,Right,175.26,81.72
Nate Wolters,Right,193.04,86.26
Nathan Jawai,Right,208.28,127.12
Nazr Mohammed,Right,208.28,100.334
Ndudi Ebi,Right,205.74,90.8
Nemanja Bjelica,Right,208.28,108.96
Nemanja Nedovic,Right,190.5,87.168
Nenad Krstic,Right,213.36,108.96
Nerlens Noel,Right,210.82,103.512
Nick Anderson,Right,198.12,93.07
Nick Calathes,Right,198.12,96.702
Nick Collison,Right,205.74,115.77
Nick Fazekas,Right,210.82,106.69
Nick Johnson,Right,190.5,91.708
Nick Van Exel,Left,185.42,77.18
Nick Young,Right,198.12,90.8
Nicolas Batum,Right,203.2,90.8
Nik Stauskas,Right,198.12,93.07
Nikola Jokic,Right,208.28,113.5
Nikola Mirotic,Right,208.28,99.88
Nikola Pekovic,Right,210.82,129.39
Nikola Vucevic,Right,213.36,118.04
Nikoloz Tskitishvili,Right,213.36,102.15
Noah Vonleh,Right,208.28,108.96
Noel Felix,Right,205.74,102.15
Nolan Smith,Right,187.96,83.99
Norm Richardson,Right,195.58,86.26
Norman Powell,Right,193.04,97.61
Norris Cole,Right,187.96,77.18
O.J. Mayo,Right,195.58,95.34
Obinna Ekezie,Right,205.74,122.58
Ognjen Kuzmic,Right,215.9,113.954
Olden Polynice,Right,210.82,99.88
Oleksiy Pecherov,Right,213.36,106.236
Oliver Lafayette,Right,187.96,86.26
Oliver Miller,Right,205.74,127.12
Olumide Oyedeji,Right,208.28,108.96
Omar Cook,Right,185.42,86.26
Omer Asik,Right,213.36,115.77
Omri Casspi,Right,205.74,102.15
Orien Greene,Right,193.04,94.432
Orlando Johnson,Right,195.58,99.88
Oscar Torres,Right,198.12,95.34
Othella Harrington,Left,205.74,106.69
Othello Hunter,Right,203.2,102.15
Othyus Jeffers,Right,195.58,90.8
Otis Thorpe,Right,205.74,102.15
Otto Porter,Right,205.74,89.892
P.J. Brown,Right,210.82,102.15
P.J. Hairston,Right,198.12,104.42
P.J. Tucker,Right,195.58,102.15
Pablo Prigioni,Right,190.5,81.72
Pape Sow,Right,208.28,113.5
Pape Sy,Right,200.66,102.15
Pat Burke,Left,210.82,113.5
Pat Connaughton,Right,195.58,93.524
Pat Garrity,Right,205.74,108.052
Patrick Beverley,Right,185.42,81.72
Patrick Christopher,Right,195.58,94.886
Patrick Ewing,Right,203.2,106.69
Patrick Ewing,Right,203.2,106.69
Patrick O'Bryant,Right,213.36,118.04
Patrick Patterson,Right,205.74,106.69
Pau Gasol,Right,213.36,103.058
Paul Davis,Right,210.82,122.58
Paul George,Right,205.74,99.88
Paul Grant,Right,213.36,111.23
Paul McPherson,Right,193.04,95.34
Paul Millsap,Right,203.2,111.23
Paul Pierce,Right,200.66,106.69
Paul Shirley,Right,208.28,104.42
Pavel Podkolzin,Right,226.06,118.04
Peja Stojakovic,Right,205.74,99.88
Pepe Sanchez,Left,193.04,88.53
Pero Antic,Right,210.82,118.04
Perry Jones,Right,210.82,106.69
Pervis Ellison,Right,205.74,95.34
Pete Chilcutt,Right,208.28,104.42
Peter John Ramos,Right,220.98,124.85
Peyton Siva,Right,182.88,83.99
Phil Pressey,Right,180.34,79.45
Popeye Jones,Right,203.2,113.5
Pops Mensah-Bonsu,Right,205.74,108.96
Predrag Drobnjak,Right,210.82,122.58
Predrag Savovic,Right,198.12,102.15
Primoz Brezec,Right,218.44,114.408
Quentin Richardson,Right,198.12,101.242
Quincy Acy,Right,200.66,105.782
Quincy Douby,Right,190.5,79.45
Quincy Lewis,Right,200.66,97.61
Quincy Miller,Right,205.74,95.34
Quincy Pondexter,Right,198.12,102.15
Quinton Ross,Right,198.12,88.53
Qyntel Woods,Right,203.2,100.334
R.J. Hunter,Right,195.58,83.99
Raef LaFrentz,Left,210.82,108.96
Rafael Araujo,Right,210.82,127.12
Rafer Alston,Right,187.96,77.634
Raja Bell,Right,195.58,92.616
Rajon Rondo,Right,185.42,77.634
Ramon Sessions,Right,190.5,86.26
Randell Jackson,Right,210.82,97.61
Randolph Morris,Right,208.28,120.764
Randy Brown,Right,187.96,86.26
Randy Foye,Right,193.04,95.34
Randy Holcomb,Left,205.74,102.15
Randy Livingston,Right,193.04,94.886
Rashad McCants,Right,193.04,93.978
Rashad Vaughn,Right,198.12,91.708
Rashard Lewis,Right,208.28,97.61
Rasheed Wallace,Right,208.28,102.15
Rasho Nesterovic,Right,213.36,112.592
Rasual Butler,Right,200.66,93.07
Ratko Varda,Right,215.9,118.04
Raul Lopez,Right,185.42,77.18
Raul Neto,Right,185.42,81.266
Rawle Marshall,Right,205.74,86.26
Ray Allen,Right,195.58,93.07
Ray McCallum,Right,190.5,86.26
Raymond Felton,Right,185.42,89.892
Reece Gaines,Right,198.12,93.07
Reggie Bullock,Right,200.66,93.07
Reggie Evans,Right,203.2,111.23
Reggie Jackson,Right,190.5,94.432
Reggie Jordan,Left,193.04,88.53
Reggie Miller,Right,200.66,83.99
Reggie Slater,Right,200.66,97.61
Reggie Williams,Right,198.12,95.34
Reggie Williams,Left,198.12,95.34
Renaldo Balkman,Right,203.2,94.432
Renaldo Major,Right,200.66,90.8
Rex Chapman,Right,193.04,83.99
Rex Walters,Left,193.04,86.26
Richard Hamilton,Right,198.12,83.99
Richard Jefferson,Right,200.66,100.788
Richaun Holmes,Right,208.28,111.23
Richie Frahm,Right,195.58,95.34
Rick Brunson,Left,193.04,86.26
Rick Fox,Right,200.66,104.42
Rick Hughes,Right,205.74,106.69
Ricky Davis,Right,198.12,88.53
Ricky Ledo,Right,200.66,88.53
Ricky Rubio,Right,193.04,81.72
Rik Smits,Right,223.52,113.5
Rob Kurz,Right,205.74,105.328
Robbie Hummel,Right,203.2,97.61
Robert Archibald,Right,210.82,113.5
Robert Covington,Right,205.74,97.61
Robert Hite,Left,187.96,83.536
Robert Horry,Right,205.74,99.88
Robert Pack,Right,187.96,81.72
Robert Sacre,Right,213.36,119.402
Robert Swift,Right,213.36,111.23
Robert Traylor,Right,203.2,128.936
Robert Whaley,Right,208.28,118.04
Robin Lopez,Right,213.36,115.77
Rod Strickland,Right,190.5,79.45
Rodney Buford,Right,195.58,85.806
Rodney Carney,Right,200.66,93.07
Rodney Hood,Left,203.2,93.524
Rodney Rogers,Left,200.66,106.69
Rodney Stuckey,Right,195.58,93.07
Rodney White,Right,205.74,108.052
Rodrick Rhodes,Right,198.12,102.15
Rodrigue Beaubois,Right,182.88,77.18
Roger Mason,Right,195.58,90.8
Roger Powell,Right,198.12,106.69
Roko Ukic,Right,195.58,83.082
Ron Harper,Right,198.12,83.99
Ron Mercer,Right,200.66,95.34
Ronald Dupree,Right,200.66,94.886
Ronald Murray,Right,193.04,86.26
Rondae Hollis-Jefferson,Left,200.66,99.88
Ronnie Brewer,Right,200.66,99.88
Ronnie Price,Right,187.96,86.26
Ronny Turiaf,Right,208.28,113.046
Roshown McLeod,Right,203.2,100.334
Roy Hibbert,Right,218.44,126.212
Roy Rogers,Right,208.28,106.69
Royal Ivey,Right,190.5,90.8
Royce White,Right,203.2,122.58
Ruben Boumtje-Boumtje,Right,213.36,116.678
Ruben Garces,Right,205.74,111.23
Ruben Patterson,Right,195.58,101.696
Ruben Wolkowyski,Right,208.28,122.58
Rudy Fernandez,Right,198.12,83.99
Rudy Gay,Right,203.2,104.42
Rudy Gobert,Right,215.9,99.88
Russ Smith,Right,182.88,74.91
Russell Westbrook,Right,190.5,84.898
Rusty LaRue,Right,187.96,95.34
Ryan Anderson,Right,208.28,108.96
Ryan Bowen,Right,200.66,97.61
Ryan Gomes,Right,200.66,113.5
Ryan Hollins,Right,213.36,104.42
Ryan Humphrey,Right,203.2,106.69
Ryan Kelly,Right,210.82,104.42
Ryan Reid,Right,203.2,105.328
Ryan Robertson,Right,195.58,86.26
Ryan Stack,Right,210.82,97.61
Salah Mejri,Right,215.9,111.23
Salim Stoudamire,Left,185.42,81.266
Sam Cassell,Right,190.5,83.99
Sam Dekker,Right,205.74,104.42
Sam Jacobson,Right,193.04,97.61
Sam Mack,Right,200.66,99.88
Sam Mitchell,Right,198.12,95.34
Sam Perkins,Left,205.74,106.69
Sam Young,Right,198.12,99.88
Samaki Walker,Right,205.74,108.96
Samardo Samuels,Right,205.74,118.04
Samuel Dalembert,Right,210.82,113.5
Sarunas Jasikevicius,Right,193.04,88.53
Sasha Kaun,Right,210.82,118.04
Sasha Pavlovic,Right,203.2,99.88
Sasha Vujacic,Right,200.66,87.622
Scot Pollard,Right,210.82,120.31
Scott Burrell,Right,200.66,98.972
Scott Machado,Right,185.42,93.07
Scott Padgett,Right,205.74,108.96
Scott Williams,Right,208.28,104.42
Scottie Pippen,Right,203.2,95.34
Scotty Hopson,Right,200.66,92.616
Sean Colson,Right,182.88,79.45
Sean Elliott,Right,203.2,93.07
Sean Kilpatrick,Right,193.04,95.34
Sean Lampley,Right,200.66,103.058
Sean Marks,Right,208.28,113.5
Sean May,Right,205.74,120.764
Sean Rooks,Right,208.28,113.5
Sean Singletary,Right,182.88,83.99
Sean Williams,Right,208.28,106.69
Sebastian Telfair,Right,182.88,74.91
Semih Erden,Right,213.36,108.96
Serge Ibaka,Right,208.28,99.88
Sergei Monia,Right,203.2,99.88
Sergey Karasev,Left,200.66,92.162
Sergio Rodriguez,Right,190.5,76.272
Seth Curry,Right,187.96,83.99
Shabazz Muhammad,Left,198.12,102.15
Shabazz Napier,Right,185.42,79.45
Shammond Williams,Right,185.42,91.254
Shandon Anderson,Right,198.12,94.432
Shane Battier,Right,203.2,99.88
Shane Edwards,Right,200.66,99.88
Shane Heal,Right,182.88,81.72
Shane Larkin,Right,180.34,79.904
Shannon Brown,Right,193.04,93.07
Shaquille O'Neal,Right,215.9,147.55
Shareef Abdur-Rahim,Right,205.74,102.15
Sharrod Ford,Right,205.74,102.15
Shaun Livingston,Right,200.66,82.628
Shavlik Randolph,Right,208.28,108.96
Shawn Bradley,Right,228.6,106.69
Shawn Kemp,Right,208.28,104.42
Shawn Marion,Right,200.66,99.88
Shawne Williams,Right,205.74,102.15
Shawnelle Scott,Right,208.28,113.5
Shayne Whittington,Right,210.82,113.5
Shelden Williams,Right,205.74,113.5
Shelvin Mack,Right,190.5,97.61
Sherman Douglas,Right,182.88,81.72
Sherron Collins,Right,180.34,93.07
Sim Bhullar,Right,226.06,163.44
Slavko Vranes,Right,226.06,124.85
Smush Parker,Right,193.04,86.26
Solomon Alabi,Right,215.9,113.954
Solomon Hill,Right,200.66,99.88
Solomon Jones,Right,208.28,104.42
Sonny Weems,Right,198.12,92.162
Soumaila Samake,Right,213.36,104.42
Speedy Claxton,Right,180.34,75.364
Spencer Dinwiddie,Right,198.12,90.8
Spencer Hawes,Right,213.36,111.23
Stacey Augmon,Left,198.12,93.07
Stanislav Medvedenko,Right,208.28,113.5
Stanley Johnson,Right,200.66,111.23
Stanley Roberts,Right,213.36,129.39
Stephane Lasme,Right,203.2,97.61
Stephen Curry,Right,190.5,83.99
Stephen Graham,Right,198.12,97.61
Stephen Jackson,Right,203.2,98.972
Stephon Marbury,Right,187.96,81.72
Steve Blake,Right,190.5,78.088
Steve Francis,Right,190.5,88.53
Steve Goodrich,Right,208.28,99.88
Steve Kerr,Right,190.5,79.45
Steve Nash,Right,190.5,88.53
Steve Novak,Right,208.28,99.88
Steve Smith,Right,200.66,90.8
Steven Adams,Right,213.36,113.5
Steven Hill,Left,213.36,112.592
Steven Hunter,Right,213.36,99.88
Steven Smith,Right,203.2,106.69
Stromile Swift,Right,205.74,102.15
Sun Yue,Left,205.74,93.07
Sundiata Gaines,Right,185.42,83.99
T.J. Ford,Right,182.88,74.91
T.J. McConnell,Right,187.96,90.8
T.J. Warren,Right,203.2,104.42
Taj Gibson,Right,205.74,102.15
Tamar Slay,Right,203.2,97.61
Tang Hamilton,Right,203.2,99.88
Tarence Kinsey,Right,198.12,83.99
Tarik Black,Right,205.74,113.5
Tariq Abdul-Wahad,Right,198.12,101.242
Taurean Green,Right,182.88,80.358
Taylor Griffin,Right,200.66,108.052
Tayshaun Prince,Left,205.74,97.61
Terence Morris,Right,205.74,100.334
Terrance Roberson,Right,200.66,97.61
