Rank,team,Avg Age,Wins,Losses,ORtg,DRtg,NRtg,Pace,Attendance,attend/g,season,Win%,eFG%
10,Chicago Bulls,28.8,50,32,107.5,104.3,3.2,92.8,886612,21625,2015,60.976,0.489
11,Oklahoma City Thunder,25.4,45,37,107.8,105.5,2.3,95.7,746323,18203,2015,54.878,0.492
12,Toronto Raptors,26.1,49,33,111,107.7,3.3,92.8,809824,19752,2015,59.756,0.508
13,New Orleans Pelicans,25.3,45,37,108.2,107.3,0.9,91.4,683757,16677,2015,54.878,0.501
14,Utah Jazz,23.4,38,44,105.1,104.9,0.2,90.4,772059,18831,2015,46.341,0.494
15,Washington Wizards,28.6,46,36,103.7,103,0.7,93.7,747796,18239,2015,56.098,0.499
16,Milwaukee Bucks,24.6,41,41,102.7,102.2,0.5,94.1,593910,14813,2015,50,0.499
17,Indiana Pacers,28.3,38,44,103.5,103.2,0.3,93.2,691434,16864,2015,46.341,0.484
18,Phoenix Suns,25.7,39,43,105.3,106.2,-0.9,96.3,693862,16923,2015,47.561,0.501
19,Boston Celtics,25,40,42,104.7,104.5,0.2,95.8,721350,17594,2015,48.78,0.489
20,Detroit Pistons,25.9,32,50,105.3,106.4,-1.1,92.8,625917,15266,2015,39.024,0.482
21,Miami Heat,28.5,37,45,103.9,106.7,-2.8,90.9,808223,19713,2015,45.122,0.5
22,Denver Nuggets,26.4,30,52,104.5,108.2,-3.7,96.1,602707,14700,2015,36.585,0.479
23,Sacramento Kings,26,29,53,105.3,109.2,-3.9,95.4,680049,16587,2015,35.366,0.49
24,Brooklyn Nets,28.6,38,44,104.4,107.4,-3,92.7,698529,17037,2015,46.341,0.491
25,Charlotte Hornets,26,33,49,100.1,103.5,-3.4,93,704886,17192,2015,40.244,0.456
26,Orlando Magic,24.3,25,57,101.6,107.7,-6.1,93.8,688194,16785,2015,30.488,0.494
27,Los Angeles Lakers,27,21,61,103.4,110.6,-7.2,94,768244,18738,2015,25.61,0.473
28,Minnesota Timberwolves,24.4,16,66,102.9,112.2,-9.3,94.4,595652,14416,2015,19.512,0.468
29,Philadelphia 76ers,23.2,18,64,95.5,104.8,-9.3,95.7,571572,13941,2015,21.951,0.459
30,New York Knicks,26.9,17,65,99.9,110,-10.1,91.2,812292,19812,2015,20.732,0.47
1,Golden State Warriors,27.4,73,9,114.5,103.8,10.7,99.3,803436,19596,2016,89.024,0.563
2,San Antonio Spurs,30.3,67,15,110.3,99,11.3,93.8,756445,18450,2016,81.707,0.526
3,Oklahoma City Thunder,25.8,55,27,113.1,105.6,7.5,96.7,746323,18203,2016,67.073,0.524
4,Cleveland Cavaliers,28.1,57,25,110.9,104.5,6.4,93.3,843042,20562,2016,69.512,0.524
5,Los Angeles Clippers,29.7,53,29,108.3,103.8,4.5,95.8,786910,19193,2016,64.634,0.524
6,Toronto Raptors,26.3,56,26,110,105.2,4.8,92.9,812863,19826,2016,68.293,0.504
7,Atlanta Hawks,28.2,48,34,105.1,101.4,3.7,97.1,690150,16833,2016,58.537,0.516
8,Boston Celtics,25.2,48,34,106.8,103.6,3.2,98.5,749076,18270,2016,58.537,0.488
9,Charlotte Hornets,26,48,34,107.1,104.3,2.8,95.7,716894,17485,2016,58.537,0.502
10,Utah Jazz,24.2,40,42,105.9,103.9,2,91,791489,19305,2016,48.78,0.501
11,Indiana Pacers,26.9,45,37,104.6,102.9,1.7,96.6,690733,16847,2016,54.878,0.497
12,Miami Heat,28.4,48,34,106.1,104.4,1.7,93.6,809350,19740,2016,58.537,0.508
13,Portland Trail Blazers,24.3,44,38,108.8,108,0.8,96,794085,19368,2016,53.659,0.511
14,Detroit Pistons,25,44,38,106.1,105.5,0.6,95.1,677138,16516,2016,53.659,0.491
15,Houston Rockets,27.8,41,41,108.3,108.1,0.2,97.6,737244,17982,2016,50,0.516
16,Dallas Mavericks,30.3,42,40,106.7,107,-0.3,94.3,825901,20144,2016,51.22,0.502
17,Washington Wizards,27.3,41,41,105.3,105.8,-0.5,98.5,725426,17693,2016,50,0.511
18,Chicago Bulls,27.6,42,40,105,106.5,-1.5,95.7,894659,21821,2016,51.22,0.487
19,Orlando Magic,23.9,35,47,105.1,106.8,-1.7,96,719275,17515,2016,42.683,0.5
20,Memphis Grizzlies,30.5,42,40,105.4,107.8,-2.4,93.3,701894,17119,2016,51.22,0.477
21,Sacramento Kings,26.6,33,49,106,108.4,-2.4,100,707526,17222,2016,40.244,0.51
22,New York Knicks,27.2,32,50,104.6,107.6,-3,93.4,812292,19812,2016,39.024,0.483
23,Denver Nuggets,24.7,33,49,105.6,108.9,-3.3,95.7,577898,14095,2016,40.244,0.489
24,Minnesota Timberwolves,24.6,29,53,106.5,110.1,-3.6,95.2,581178,14175,2016,35.366,0.498
25,New Orleans Pelicans,26.6,30,52,105.6,109.5,-3.9,96.8,688549,16794,2016,36.585,0.498
26,Milwaukee Bucks,23.5,33,49,104.3,108.7,-4.4,94.2,621808,15166,2016,40.244,0.499
27,Phoenix Suns,26,23,59,102.2,109,-6.8,98.5,701405,17107,2016,28.049,0.487
28,Brooklyn Nets,26.9,21,61,103.2,110.9,-7.7,95.2,620142,15125,2016,25.61,0.492
29,Los Angeles Lakers,26.5,17,65,101.6,111.6,-10,95.6,778877,18997,2016,20.732,0.46
30,Philadelphia 76ers,23.3,10,72,98.8,109.2,-10.4,97.9,614650,14991,2016,12.195,0.487
