name,salary,season,team,shoots,height_cm,weight_kg,age,games_played,mins_played,pts,ppm,ppg
Anthony Goldwire,116713,2005,TOT,Right,185.42,82.628,33,33,537,172,0.3203,5.21212
Anthony Goldwire,116713,2005,Detroit Pistons,Right,185.42,82.628,33,9,55,18,0.32727,2
Anthony Goldwire,116713,2005,Milwaukee Bucks,Right,185.42,82.628,33,24,482,154,0.3195,6.41667
Anthony Goldwire,74652,2006,Los Angeles Clippers,Right,185.42,82.628,34,3,22,2,0.09091,0.66667
Anthony Johnson,1100000,2000,TOT,Right,190.5,86.26,25,56,637,154,0.24176,2.75
Anthony Johnson,1100000,2000,Atlanta Hawks,Right,190.5,86.26,25,38,423,92,0.21749,2.42105
Anthony Johnson,1100000,2000,Orlando Magic,Right,190.5,86.26,25,18,214,62,0.28972,3.44444
Anthony Johnson,1200000,2001,TOT,Right,190.5,86.26,26,53,511,130,0.2544,2.45283
Anthony Johnson,1200000,2001,Atlanta Hawks,Right,190.5,86.26,26,25,279,64,0.22939,2.56
Anthony Johnson,1200000,2001,Cleveland Cavaliers,Right,190.5,86.26,26,28,232,66,0.28448,2.35714
Anthony Johnson,699935,2003,Brooklyn Nets,Right,190.5,86.26,28,66,842,270,0.32067,4.09091
Anthony Johnson,813679,2004,Indiana Pacers,Right,190.5,86.26,29,73,1598,450,0.2816,6.16438
Anthony Johnson,2200000,2005,Indiana Pacers,Right,190.5,86.26,30,63,1747,532,0.30452,8.44444
Anthony Johnson,2420000,2006,Indiana Pacers,Right,190.5,86.26,31,75,1981,691,0.34881,9.21333
Anthony Johnson,2640000,2007,TOT,Right,190.5,86.26,32,67,1301,355,0.27287,5.29851
